IDpole	OccurDate	Payment	IDclaim	Guarantee
90190300.100a	37788	73	201348	Windscreen
90179690.101a	38130	815	1202677	TPL
90157308.100b	38207	291	207876	Windscreen
90130925.100a	37948	56	209887	TPL
90161643.100a	38151	820	1201765	Theft
90109434.101a	38257	68	12460	TPL
90177973.100a	38345	154	209343	TPL
90108527.101a	38331	445	1203979	Windscreen
90133799.101a	38255	727	205773	TPL
90113786.101b	38085	252	1205568	Windscreen
90154821.100a	38173	3572	1206766	Theft
90150989.100a	38086	170	1205103	Windscreen
90148626.100b	38087	230	1205586	Windscreen
90152360.100a	37705	334	11238	Windscreen
90178407.100b	38033	157	1207827	TPL
90125993.100a	37921	872	206310	Windscreen
90181870.100b	37839	724	203180	Windscreen
90132160.100a	38165	93	1201940	TPL
90127527.101a	37927	312	207825	Windscreen
90193123.100a	38198	356	12536	Windscreen
90108066.101a	38161	87	1201355	Damage
90131354.101a	37866	274	204155	Windscreen
90133004.100a	37876	154	203975	TPL
90158368.100a	37861	25	204016	Theft
1001365.100a	37996	915	1209081	TPL
90103679.10a	38310	3161	206292	TPL
90165773.101b	37914	3028	205565	TPL
90134038.100a	38294	225	208929	TPL
90159002.100a	37726	415	11254	TPL
90172145.102a	38306	130	207597	Windscreen
90166472.100a	38221	0	9749	TPL
90178230.100b	38150	436	1205662	Windscreen
90184926.100a	37649	1650	7822	TPL
90151950.101a	38283	2010	1203242	Damage
90108032.101a	38289	438	208199	Windscreen
90128782.101b	37859	469	204071	TPL
90151980.100a	38042	1770	1206701	Theft
90128405.101a	38118	1147	1203162	TPL
90146984.100a	37773	439	13295	TPL
90149271.100a	37910	337	206679	Windscreen
70100204.101a	38143	776	1202460	Damage
90123575.101a	38139	6293	1202330	Damage
90187788.100a	38261	3729	10974	TPL
90132415.101a	38253	14112	204000	TPL
90158035.101c	38061	647	1205578	TPL
90133109.100a	37795	1311	200723	TPL
90109639.101a	37838	711	202604	Damage
90133484.100b	38168	5132	1201220	Damage
90160137.100a	37700	946	10015	TPL
90117848.101a	38178	701	201981	TPL
90152127.101a	37765	93	12889	TPL
10100157.101b	38334	568	1201896	TPL
90190757.100b	37777	542	203815	Windscreen
90167617.100a	38061	211	1206194	Windscreen
60100431.10a	38053	233	1206394	Windscreen
90155165.100a	38113	346	1205138	Windscreen
90132650.100a	37662	897	8380	TPL
90162691.101a	38236	452	1201897	TPL
90124664.101b	38283	525	8528	Other
90129062.101a	38054	787	1206082	TPL
90158846.101a	37876	102	204249	TPL
